Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value SQFT,Market Value
0,1,38,1935,32200,445970,13.85,260820,8.1,185150,1.709876543,40.78,1313000
0,1,49,1954,47679,692299,14.52,422436,8.86,269863,1.638825763,40.75,1943000
0,1,54,1924,42660,517466,12.13,261506,6.13,255960,1.978792074,40.74,1738000
0,1,65,1936,73610,1007721,13.69,584463,7.94,423258,1.724182711,40.66,2993000
0,1,66,1961,65000,898950,13.83,527800,8.12,371150,1.70320197,40.46,2630000
0,1,72,1960,77000,975590,12.67,524370,6.81,451220,1.860499266,40.44,3114000
0,1,78,1958,61914,869273,14.04,518220,8.37,351052,1.677420787,40.43,2503000
0,1,59,1940,56400,745608,13.22,422436,7.49,323172,1.765020027,40.04,2258000
0,1,158,1961,179920,2650222,14.73,1653465,9.19,996757,1.60282921,39.98,7194000
0,1,55,1932,54184,701683,12.95,390667,7.21,311016,1.796115362,39.92,2163000
0,1,61,1938,64291,943149,14.67,588906,9.16,354243,1.601527239,39.76,2556000
0,1,73,1961,91075,1201279,13.19,686706,7.54,514574,1.749335232,39.52,3599000
0,1,74,1955,75010,881368,11.75,444809,5.93,436558,1.981452713,39.15,2937000
0,1,85,1931,87924,1229178,13.98,753509,8.57,475669,1.631271823,38.5,3385000
0,1,17,1911,27691,372167,13.44,220420,7.96,151747,1.688444787,38.5,1066000
0,1,297,1961,352360,5066937,14.38,3174764,9.01,1892173,1.596004301,38.49,13564000
0,1,140,1950,186000,2129700,11.45,1063920,5.72,1065780,2.001748252,38.2,7105000
0,1,110,1964,120534,1443997,11.98,765391,6.35,678606,1.886613509,38.11,4594000
0,1,122,1955,141055,1830894,12.98,1062144,7.53,768750,1.723771918,37.96,5355000
0,1,62,1914,34820,469025,13.47,280997,8.07,188028,1.669145934,37.94,1321000
0,1,133,1963,151155,1750375,11.58,899372,5.95,851003,1.94621914,37.62,5687000
0,1,42,1941,37000,433640,11.72,227180,6.14,206460,1.908794788,37.54,1389000
0,1,42,1928,42450,510249,12.02,271680,6.4,238569,1.878125,37.5,1592000
0,1,352,1967,381213,4464004,11.71,2333024,6.12,2130981,1.913398233,37.49,14292000
0,1,56,1937,48628,687114,14.13,431817,8.88,255297,1.591215723,37.45,1821000
1,1,67,1955,80735,1140786,14.13,716927,8.88,423859,1.5912164,37.44,3023000
0,1,38,1928,36900,509220,13.8,314388,8.52,194832,1.61971831,37.43,1381000
0,1,37,1936,39550,518105,13.1,306908,7.76,211197,1.68814433,37.29,1475000
0,1,54,1924,44304,553800,12.5,314115,7.09,239685,1.763048565,37.15,1646000
0,1,73,1959,83000,1056590,12.73,610880,7.36,445710,1.729619565,37.13,3082000
0,1,85,1927,107220,1369199,12.77,794500,7.41,574699,1.723346759,37.09,3977000
0,1,120,1954,160000,2064000,12.9,1212800,7.58,851200,1.701846966,36.95,5912000
0,1,145,1949,150500,2100980,13.96,1324400,8.8,776580,1.586363636,36.7,5523000
0,1,50,1931,54180,720052,13.29,438316,8.09,281736,1.642769144,36.42,1973000
0,1,54,1929,57000,758100,13.3,462270,8.11,295830,1.639950678,36.35,2072000
0,1,104,1928,148000,1921040,12.98,1151440,7.78,769600,1.668380463,36.2,5357000
0,1,139,1967,144460,1990659,13.78,1258247,8.71,732412,1.582089208,35.94,5192000
0,1,42,1940,41000,533820,13.02,325540,7.94,208280,1.639798489,35.37,1450000
0,1,48,1931,48852,642892,13.16,398144,8.15,244749,1.614722312,34.96,1708000
0,1,87,1928,98700,1273230,12.9,783678,7.94,489552,1.624685139,34.41,3396000
0,1,35,1931,41580,555093,13.35,353014,8.49,202079,1.572439053,34.08,1417000
0,1,61,1930,57230,756581,13.22,477871,8.35,278710,1.583232713,34.06,1949000
0,1,64,1962,53700,710451,13.23,452691,8.43,257760,1.569395018,33.65,1807000
0,1,10948,1969,13540113,166272588,12.28,99790633,7.37,66481955,1.666214383,33.56,454434000
0,1,171,1958,170350,1964136,11.53,1110682,6.52,853454,1.768405358,33.44,5697000
0,1,408,1958,361452,4207301,11.64,2407270,6.66,1800031,1.747747864,33.35,12056000
0,1,111,1958,151800,1987062,13.09,1269048,8.36,718014,1.565789474,33.05,5017000
0,1,151,1950,155477,2033639,13.08,1298233,8.35,735406,1.566466882,32.97,5126000
0,1,106,1965,111300,1454691,13.07,928242,8.34,526449,1.567146283,32.97,3670000
0,1,207,1930,197406,2516927,12.75,1591092,8.06,925834,1.581886528,32.41,6397000
0,1,120,1966,127000,1220470,9.61,558800,4.4,661670,2.184090909,32.32,4105000
0,1,104,1957,115000,1473150,12.81,943000,8.2,530150,1.562195122,31.94,3673000
0,1,50,1963,55800,660114,11.83,400644,7.18,259470,1.647632312,31.31,1747000
0,1,239,1967,212300,2677103,12.61,1713261,8.07,963842,1.562577447,31.29,6642000
0,1,48,1927,58350,717705,12.3,459215,7.87,258491,1.562895376,30.25,1765000
0,1,171,1965,232808,2861210,12.29,1832199,7.87,1029011,1.561626221,30.2,7030000
0,1,624,1966,598478,7139843,11.93,4518509,7.55,2621334,1.580132517,29.65,17742000
0,1,105,1960,117922,1409168,11.95,897386,7.61,511781,1.57030308,29.38,3464000
0,1,42,1927,45483,528967,11.63,338394,7.44,190574,1.563168969,28.05,1276000
0,1,225,1962,256750,2903843,11.31,1858870,7.24,1044973,1.562154965,26.98,6928000
0,1,54,1927,53898,590722,10.96,377825,7.01,212897,1.563480447,25.86,1394000
0,1,108,1929,145728,1582606,10.86,1012810,6.95,569796,1.562589232,25.52,3719000
0,1,319,1968,425070,4582255,10.78,2932983,6.9,1649272,1.562318977,25.23,10725000
